Theme parameters supported by the functions

ThemeLayout_GetParameter, ThemeLayout_SetParameter


v5


idx   	   retval                           desc                                      value  defValue  minValue  maxValue


-1000    __color_gamma                      Gamma                                     1008      1000       250      2000
-1001    __color_shadows                    Shadows                                      0         0      -256       256
-1002    __color_midtones                   Midtones                                     0         0      -256       256
-1003    __color_highlights                 Highlights                                   0         0      -256       256
-1004    __color_saturation                 Saturation                                 256       256         0       512
-1005    __color_tint                       Tint                                       192       192         0       384
-1006    __color_apply_project              Apply to project colors                      0         0         0         1

_______________________________________________________________________________________________________________________


V6


idx   retval                              desc                                        value  defValue  minValue  maxValue


0    defaultV6                          defaultV6_version                               1         1         0         0
1    param1                             A_mcp_indent                                    4         4         1         7
2    param2                             A_tcp_indent                                    5         5         1         7
3    param3                             A_tcp_vol_size                                  1         1         1         7
4    param4                             A_tcp_MeterSize                                 3         3         1         7
5    param5                             A_tcp_Record_Arm                                0         0         0        15
6    param6                             A_tcp_Monitor                                   0         4         0        15
7    param7                             A_tcp_Track_Name                                0         0         0        15
8    param8                             A_tcp_Volume                                    0         0         0        15
9    param9                             A_tcp_Routing                                   0         1         0        15
10   param10                            A_tcp_Effects                                   0         0         0        15
11   param11                            A_tcp_Envelope                                  0         0         0        15
12   param12                            A_tcp_Pan_&_Width                               0         1         0        15
13   param13                            A_tcp_Record_Mode                               0         4         0        15
14   param14                            A_tcp_Input                                     0         4         0        15
15   param15                            A_tcp_Values                                    0         2         0        15
16   param16                            A_tcp_Meter_Values                              0         4         0        15
17   param17                            A_tcp_MeterLoc                                  2         2         1         3
18   param18                            A_tcp_LabelSize                                 6         6         1         7
19   param19                            A_tcp_LabelMeasure                             25       100         1       200
20   param20                            A_tcp_InputSize                                 5         5         1         7
21   param21                            A_envcp_labelSize                               6         6         1         7
22   param22                            A_envcp_LabelMeasure                          100       100         1       200
23   param23                            A_envcp_fader_size                              1         1         1         7
24   param24                            A_envcp_folder_indent                           1         1         0         1
25   param25                            A_mcp_Sidebar                                   0         0         1         5
26   param26                            A_mcp_Narrow                                    0         0         1         5
27   param27                            A_mcp_Meter_Expansion                           3         3         1         5
28   param28                            A_mcp_Labels                                    3         3         1         5
29   param29                            A_mcp_meterExpSize                              3         3         1         4
30   param30                            A_mcp_border                                    1         1         1         5
31   param31                            B_tcp_vol_size                                  5         5         1         7
32   param32                            B_tcp_MeterSize                                 3         3         1         7
33   param33                            B_tcp_Record_Arm                                0         0         0        15
34   param34                            B_tcp_Monitor                                   0         0         0        15
35   param35                            B_tcp_Track_Name                                0         0         0        15
36   param36                            B_tcp_Volume                                    0         0         0        15
37   param37                            B_tcp_Routing                                   0         0         0        15
38   param38                            B_tcp_Effects                                   0         0         0        15
39   param39                            B_tcp_Envelope                                  0         0         0        15
40   param40                            B_tcp_Pan_&_Width                               0         0         0        15
41   param41                            B_tcp_Record_Mode                               0         0         0        15
42   param42                            B_tcp_Input                                     0         0         0        15
43   param43                            B_tcp_Values                                    0         0         0        15
44   param44                            B_tcp_Meter_Values                              0         0         0        15
45   param45                            B_tcp_MeterLoc                                  2         2         1         3
46   param46                            B_tcp_InputSize                                 6         6         1         7
